ident;type;name;continent;iso_country;iso_region;municipality
EGBJ;medium_airport;Gloucestershire Airport;EU;GB;GB-ENG;Staverton
EGBK;small_airport;Sywell Aerodrome;EU;GB;GB-ENG;Northampton
EGBL;small_airport;Long Marston Airfield;EU;GB;GB-ENG;Long Marston
EGBM;small_airport;Tatenhill Airfield;EU;GB;GB-ENG;Burton upon Trent
EGBN;medium_airport;Nottingham Airport;EU;GB;GB-ENG;Nottingham
EGBO;small_airport;Wolverhampton Halfpenny Green Airport;EU;GB;GB-ENG;Wolverhampton
EGBP;small_airport;Cotswold Airport;EU;GB;GB-ENG;Kemble
EGBR;small_airport;Breighton Airfield;EU;GB;GB-ENG;Breighton
EGBS;small_airport;Shobdon Aerodrome;EU;GB;GB-ENG;Shobdon
EGBT;small_airport;Turweston Airport;EU;GB;GB-ENG;Turweston
EGBV;heliport;Silverstone Heliport;EU;GB;GB-ENG;Buckingham
EGBW;small_airport;Wellesbourne Airfield;EU;GB;GB-ENG;Stratford-on-Avon
EGCA;small_airport;Coal Aston Airfield;EU;GB;GB-ENG;
EGCB;small_airport;City Airport Manchester;EU;GB;GB-ENG;Manchester / Salford
